car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_class,days_before_accident
q-1861373D,Smart ForTwo,economy,petrol,4.46,2013,43385,2016,another_bug,9
F-1720906M,Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,another_bug,190
N-1361542t,Kia Sportage,standart,petrol,4.14,2012,23529,2015,engine_ignition,43
b-1432630h,VW Polo,economy,petrol,5.34,2013,38078,2019,wheel_shake,10
h-5381376K,Kia Sportage,standart,petrol,4.38,2014,57212,2020,engine_ignition,96
P-1870462h,Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,break_bug,63
v-9248915k,Kia Rio,economy,petrol,4.42,2013,43498,2018,gear_stick,10
K51907129A,Smart ForTwo,economy,petrol,5.38,2014,61307,2021,electro_bug,54
X-1892335q,Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,engine_overheat,10
v19385068r,Smart ForTwo,economy,petrol,3.9,2015,85592,2016,wheel_shake,22
m-9741436p,Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,electro_bug,62
I13605989C,VW Tiguan,economy,petrol,4.04,2013,40885,2022,wheel_shake,25
C-1374739x,Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,another_bug,22
h20080273C,Kia Rio,economy,petrol,3.44,2013,47064,2020,wheel_shake,5
g-1944591e,Skoda Rapid,economy,petrol,4.7,2017,109697,2021,engine_overheat,76
b17225071g,VW Polo VI,economy,petrol,3.42,2012,22261,2014,gear_stick,7
O13657804w,Mini Cooper,business,petrol,3.26,2013,48070,2016,engine_overheat,80
V-7306183J,Renault Sandero,standart,petrol,5.14,2011,18628,2020,engine_fuel,23
A56074965v,Skoda Rapid,economy,petrol,3.48,2017,128159,2017,engine_fuel,23
f19927901y,Smart Coupe,economy,petrol,4.02,2015,80183,2017,engine_fuel,20
a-7058206h,Kia Rio X,economy,petrol,4.98,2012,20772,2016,engine_check,25
a55365942d,Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,engine_fuel,7
z-1220018d,VW Polo VI,economy,petrol,5.64,2014,66305,2020,wheel_shake,14
R21058725x,Kia Rio,economy,petrol,3.18,2011,109,2016,engine_overheat,7
b-2371028p,Smart ForFour,economy,petrol,5.22,2013,41121,2017,engine_ignition,31
G43865383Q,Kia Rio,economy,petrol,4.18,2015,78338,2018,electro_bug,9
e78313402L,Kia Rio X,economy,petrol,3.04,2015,84778,2020,wheel_shake,3
d-6672088A,Kia Rio X,economy,petrol,3.12,2015,80270,2019,engine_fuel,15
b-8415196u,Smart ForFour,economy,petrol,4.34,2013,41482,2019,another_bug,91
N18957837j,VW Polo,economy,petrol,4.28,2012,25882,2017,engine_fuel,29
v69592222X,Smart ForFour,economy,petrol,2.94,2016,95904,2019,another_bug,41
n19871201N,Tesla Model 3,premium,electro,3.58,2016,89811,2018,another_bug,317
A-1683178f,Smart ForTwo,economy,petrol,6.04,2014,61877,2015,engine_check,30
c-1462399e,Kia Sportage,standart,petrol,4.76,2013,46432,2016,engine_ignition,50
C38293729H,Smart ForTwo,economy,petrol,4.72,2016,111683,2016,engine_fuel,21
M-4645533N,Hyundai Solaris,economy,petrol,4.4,2014,55154,2021,break_bug,7
i22101695X,Fiat 500,business,petrol,5.16,2015,80937,2022,engine_check,55
c22334367p,Renault Sandero,standart,petrol,3.86,2012,22419,2019,engine_overheat,32
S61532080S,Hyundai Solaris,economy,petrol,4.0,2012,19243,2014,engine_overheat,31
W-3482364r,Kia Rio X,economy,petrol,5.3,2012,22234,2022,another_bug,93
r-1098555x,VW Polo,economy,petrol,5.28,2015,76719,2020,engine_fuel,2
J-2221564E,Smart ForTwo,economy,petrol,5.62,2015,77620,2016,engine_ignition,35
t89744603y,Smart ForFour,economy,petrol,2.36,2017,109830,2018,another_bug,146
R22777636m,Kia Rio X,economy,petrol,2.2,2012,22872,2022,wheel_shake,2
g95201799l,Kia Rio X-line,economy,petrol,4.14,2015,87419,2020,engine_ignition,65
b18050488U,Skoda Rapid,economy,petrol,3.42,2015,90601,2020,break_bug,3
C-2187827F,Kia Sportage,standart,petrol,4.7,2013,46648,2019,engine_fuel,12
a-6471303K,Renault Sandero,standart,petrol,4.12,2015,81653,2016,engine_ignition,77
u16335953I,VW Tiguan,economy,petrol,4.16,2017,132600,2019,engine_overheat,70
Z-1478978u,Kia Rio,economy,petrol,4.36,2011,1439,2017,another_bug,30
u-1774078g,Smart ForFour,economy,petrol,5.24,2017,124530,2015,another_bug,37
e13179173i,VW Polo VI,economy,petrol,4.46,2011,11754,2017,engine_ignition,34
V-9361538G,Kia Rio X-line,economy,petrol,5.96,2012,20930,2018,break_bug,4
C22072062B,Nissan Qashqai,standart,petrol,3.38,2013,43909,2020,engine_ignition,35
E68314843q,Kia Sportage,standart,petrol,3.78,2015,86476,2018,engine_ignition,42
k88534152q,VW Polo,economy,petrol,3.52,2013,47288,2019,wheel_shake,20
q12920406o,Kia Sportage,standart,petrol,4.08,2015,71427,2017,electro_bug,18
u-1057398c,Smart ForFour,economy,petrol,5.28,2013,47865,2017,engine_ignition,33
s-3746188l,Smart ForFour,economy,petrol,4.3,2015,88693,2015,break_bug,9
j37934708f,Smart ForFour,economy,petrol,2.32,2017,129623,2019,engine_ignition,80
M-2125716U,Smart ForFour,economy,petrol,5.52,2017,126000,2015,gear_stick,30
A-6734908O,VW Polo,economy,petrol,5.56,2012,21871,2016,engine_check,16
f82085811L,VW Polo,economy,petrol,3.06,2013,39692,2016,engine_check,41
T-1299777v,Kia Sportage,standart,petrol,5.02,2015,79029,2019,electro_bug,13
i21928776j,Kia Sportage,standart,petrol,2.82,2015,81505,2017,gear_stick,6
y11348057n,Renault Sandero,standart,petrol,4.08,2013,35273,2022,engine_check,36
a-1515400J,VW Polo,economy,petrol,4.24,2011,5693,2018,engine_overheat,21
S17262804N,Skoda Rapid,economy,petrol,3.7,2015,74119,2019,wheel_shake,28
W14795073t,Skoda Rapid,economy,petrol,4.4,2016,115249,2016,engine_ignition,51
u-1594350q,Kia Rio X-line,economy,petrol,4.72,2012,22087,2018,engine_fuel,24
j-1145477E,Mercedes-Benz GLC,business,petrol,4.96,2013,39729,2021,engine_fuel,28
a-7125351Z,VW Tiguan,economy,petrol,3.62,2017,127194,2020,engine_ignition,105
C73458374Q,Kia Sportage,standart,petrol,4.32,2013,40977,2015,engine_check,25
H42487546s,Kia Rio X-line,economy,petrol,4.34,2013,45381,2016,electro_bug,11
f-4873956c,Nissan Qashqai,standart,petrol,4.22,2013,46259,2015,engine_fuel,5
n-2171056h,Kia Rio X-line,economy,petrol,5.16,2011,6954,2015,gear_stick,9
B18328752a,Renault Kaptur,standart,petrol,4.72,2011,4209,2022,break_bug,28
N-4929388x,VW Tiguan,economy,petrol,4.24,2017,113201,2021,engine_overheat,36
s-1723833v,BMW 320i,business,petrol,4.02,2014,58695,2020,engine_check,99
N15139629D,Renault Sandero,standart,petrol,4.7,2014,75248,2018,engine_overheat,6
z-3170763V,Audi A4,premium,petrol,6.02,2014,67985,2021,gear_stick,107
w-2294853S,Kia Sportage,standart,petrol,4.18,2015,75858,2018,another_bug,93
v13590850L,Kia Rio X,economy,petrol,4.2,2015,83400,2014,engine_ignition,83
N-7018320r,Nissan Qashqai,standart,petrol,4.4,2015,87391,2019,engine_ignition,42
C-8860661H,VW Polo,economy,petrol,4.3,2014,71807,2022,gear_stick,6
e-1657282o,Nissan Qashqai,standart,petrol,5.78,2015,93706,2017,engine_overheat,31
a-1090366N,VW Tiguan,economy,petrol,5.08,2014,57442,2017,engine_overheat,46
T-1979577d,Audi Q3,premium,petrol,4.52,2016,92850,2022,electro_bug,39
T10443943B,Kia Rio X,economy,petrol,4.74,2011,5334,2017,break_bug,10
C-7059083l,Kia Rio X-line,economy,petrol,4.8,2011,1876,2017,electro_bug,20
V-2775445H,Smart Coupe,economy,petrol,4.38,2016,96277,2016,electro_bug,12
Y-1359331n,Kia Rio,economy,petrol,5.1,2014,61248,2016,engine_check,37
J-3845561g,VW Tiguan,economy,petrol,5.82,2016,102626,2017,engine_check,54
J-1519931T,Hyundai Solaris,economy,petrol,4.28,2012,19784,2017,break_bug,13
w-1534281h,VW Tiguan,economy,petrol,4.7,2013,43382,2020,gear_stick,11
q25090977a,Skoda Rapid,economy,petrol,3.02,2017,130192,2014,engine_ignition,43
P14343623p,Skoda Rapid,economy,petrol,4.32,2013,39955,2016,electro_bug,21
S87921938R,Kia Sportage,standart,petrol,2.54,2015,81075,2016,gear_stick,25
Z-2503410m,Renault Sandero,standart,petrol,4.9,2015,84878,2016,break_bug,9
X15138491s,Nissan Qashqai,standart,petrol,3.64,2015,88467,2022,engine_ignition,61
s12797973g,VW Tiguan,economy,petrol,2.96,2013,36650,2022,wheel_shake,8
S-2166867a,Renault Sandero,standart,petrol,4.58,2015,77531,2015,another_bug,25
l21968436d,Renault Sandero,standart,petrol,3.58,2013,46708,2017,engine_ignition,76
e48349275H,Smart Coupe,economy,petrol,4.44,2017,135192,2018,gear_stick,147
J-2076735y,Smart ForFour,economy,petrol,5.14,2015,73604,2017,gear_stick,35
H73023939E,Kia Rio,economy,petrol,4.24,2013,40772,2016,engine_ignition,27
N-6929570j,Kia Sportage,standart,petrol,5.56,2012,21395,2018,engine_overheat,7
a68025486E,Kia Rio X-line,economy,petrol,3.82,2013,44337,2017,electro_bug,5
q-4068323Z,Kia Rio X-line,economy,petrol,5.9,2013,41179,2020,electro_bug,18
V15348382y,Renault Sandero,standart,petrol,4.12,2015,73441,2018,engine_overheat,25
u14532736a,Smart ForFour,economy,petrol,3.26,2014,60524,2021,engine_overheat,10
V40334761U,Smart Coupe,economy,petrol,4.38,2016,95641,2020,electro_bug,67
B-2214084P,Kia Rio X,economy,petrol,5.9,2011,6550,2020,wheel_shake,18
q-1404140E,VW Tiguan,economy,petrol,4.56,2015,82940,2021,electro_bug,3
A-3681208u,Smart ForFour,economy,petrol,4.66,2017,122882,2021,engine_ignition,148
E16896376o,VW Polo VI,economy,petrol,2.1,2015,89960,2018,engine_overheat,41
d-2534590I,Renault Kaptur,standart,petrol,5.4,2014,69549,2016,another_bug,17
S-1965116I,Kia Rio,economy,petrol,6.22,2012,22988,2016,break_bug,37
b-4266665E,Kia Rio X-line,economy,petrol,3.68,2013,46131,2018,gear_stick,3
I13914989Z,Tesla Model 3,premium,electro,4.64,2016,98304,2019,engine_ignition,1043
m47130393l,Smart ForTwo,economy,petrol,3.34,2014,58608,2022,engine_overheat,31
Q-7410329X,Audi A3,premium,petrol,4.78,2015,75722,2018,engine_overheat,49
d-1297927q,Hyundai Solaris,economy,petrol,4.12,2014,56308,2017,engine_check,23
f-1056352e,Hyundai Solaris,economy,petrol,4.12,2012,22767,2018,break_bug,6
u-2070489i,Volkswagen ID.4 ,premium,electro,5.5,2013,41332,2018,electro_bug,433
C16363758Y,Smart ForTwo,economy,petrol,4.48,2016,94443,2017,electro_bug,6
i14933910A,Kia Rio X,economy,petrol,3.94,2015,81129,2018,engine_ignition,34
r-1475357U,Smart ForFour,economy,petrol,4.6,2014,59799,2020,break_bug,44
X61893871I,Smart ForTwo,economy,petrol,3.72,2015,80822,2017,another_bug,19
j-1317678J,Kia Rio,economy,petrol,7.54,2015,80710,2015,another_bug,31
B-1975805X,Kia Rio X-line,economy,petrol,4.4,2014,55413,2017,break_bug,4
x-7526060y,Kia Rio X-line,economy,petrol,4.82,2011,12613,2017,gear_stick,27
v-1386883Q,Renault Sandero,standart,petrol,5.42,2011,5819,2020,engine_overheat,12
A-1463575c,Renault Sandero,standart,petrol,4.92,2014,62218,2019,engine_check,38
w-9263433r,Renault Sandero,standart,petrol,4.34,2012,26336,2020,another_bug,16
w19872753k,Kia Rio X-line,economy,petrol,3.6,2011,7238,2017,engine_check,13
C-7911141r,VW Tiguan,economy,petrol,4.42,2017,119510,2019,engine_check,59
s-1960417S,Audi Q3,premium,petrol,4.58,2013,41338,2017,engine_check,136
a-8546767B,VW Polo VI,economy,petrol,5.64,2012,20652,2014,engine_check,29
F93868144g,Renault Sandero,standart,petrol,3.36,2012,26471,2020,break_bug,10
T-2012068H,VW Polo,economy,petrol,4.52,2015,74201,2017,another_bug,18
w38704997k,Hyundai Solaris,economy,petrol,2.66,2015,79590,2022,another_bug,25
R14058273F,VW Polo,economy,petrol,3.7,2012,18288,2015,break_bug,19
Y-1582411z,Smart ForFour,economy,petrol,2.98,2016,115362,2015,engine_ignition,78
Q14512280H,Kia Sportage,standart,petrol,3.56,2015,72243,2016,electro_bug,14
S18780622c,Kia Sportage,standart,petrol,4.34,2014,63740,2020,engine_ignition,35
K20448785V,Smart ForFour,economy,petrol,3.5,2017,122283,2018,engine_fuel,33
c95874857y,Nissan Qashqai,standart,petrol,4.16,2014,58200,2016,engine_ignition,99
g25517695C,Mercedes-Benz E200,business,petrol,4.36,2014,60420,2020,engine_overheat,52
R-1442786V,VW Polo VI,economy,petrol,4.36,2011,7998,2020,engine_check,44
g-2283000q,Tesla Model 3,premium,electro,5.44,2015,75113,2020,gear_stick,195
I-9353552N,Renault Sandero,standart,petrol,5.42,2011,3429,2019,engine_overheat,9
n-1751164y,Smart ForTwo,economy,petrol,4.58,2015,87819,2017,gear_stick,16
E-2364794p,Smart Coupe,economy,petrol,6.02,2017,127810,2020,engine_ignition,155
Z10584890Y,Kia Rio X,economy,petrol,2.0,2015,82218,2017,engine_fuel,6
r21240148Z,Fiat 500,business,petrol,2.74,2013,40716,2020,gear_stick,47
d13892145k,VW Polo VI,economy,petrol,3.96,2011,1319,2015,wheel_shake,4
N10423478l,MINI CooperSE,business,electro,4.08,2012,19131,2018,break_bug,100
X45507052P,Smart ForTwo,economy,petrol,4.82,2015,90474,2015,electro_bug,20
w-1247054B,Smart ForFour,economy,petrol,4.96,2016,95216,2022,gear_stick,8
k-7428263u,Smart ForTwo,economy,petrol,5.38,2017,114016,2020,engine_fuel,125
I-1834975z,Mercedes-Benz GLC,business,petrol,4.0,2013,43345,2021,electro_bug,40
X21759757Y,Kia Rio X,economy,petrol,2.26,2012,29307,2019,engine_ignition,69
g16808805U,Kia Rio,economy,petrol,2.64,2015,97573,2016,another_bug,13
t15817307U,Renault Kaptur,standart,petrol,4.46,2015,79278,2019,engine_check,96
K12580160n,Kia Sportage,standart,petrol,4.08,2014,66550,2021,gear_stick,17
v24501032Z,Smart ForFour,economy,petrol,4.0,2014,66762,2020,engine_ignition,50
r-1234134E,Kia Rio X-line,economy,petrol,6.1,2014,63024,2016,gear_stick,8
F-4368553P,Kia Rio X,economy,petrol,3.16,2015,74617,2016,gear_stick,9
e19460921k,Renault Kaptur,standart,petrol,2.6,2013,37289,2018,break_bug,6
l60900580P,VW Polo,economy,petrol,3.46,2011,7092,2015,break_bug,5
L-1528963w,Kia Rio,economy,petrol,4.72,2011,925,2017,break_bug,6
h-5894617f,Kia Sportage,standart,petrol,5.68,2013,40935,2017,engine_ignition,29
s-4342091J,Renault Kaptur,standart,petrol,5.4,2014,63713,2016,another_bug,18
d19132071d,Nissan Qashqai,standart,petrol,3.84,2014,58745,2017,engine_overheat,32
T17230987N,Hyundai Solaris,economy,petrol,3.16,2015,82226,2015,break_bug,10
y-9963220p,Kia Sportage,standart,petrol,4.0,2013,42627,2018,gear_stick,20
e47564578c,Renault Kaptur,standart,petrol,4.04,2011,1592,2019,gear_stick,7
A-1925405h,Nissan Qashqai,standart,petrol,5.12,2012,28735,2016,engine_overheat,27
K-1675111t,Mercedes-Benz E200,business,petrol,4.36,2011,1108,2017,engine_check,199
H97009055R,VW Polo VI,economy,petrol,3.14,2012,25098,2015,another_bug,20
I19047773k,VW Polo VI,economy,petrol,4.12,2013,44204,2018,wheel_shake,13
n-4539806B,Kia Sportage,standart,petrol,5.24,2014,56573,2019,engine_check,19
i-1648732d,Renault Kaptur,standart,petrol,4.7,2011,391,2016,break_bug,11
e16769908F,Renault Kaptur,standart,petrol,3.74,2013,38579,2018,engine_check,33
F16255698J,Kia Rio X,economy,petrol,3.74,2015,76975,2014,engine_ignition,26
G62687264j,Skoda Rapid,economy,petrol,4.06,2017,132475,2020,engine_check,43
o-1192530z,Renault Sandero,standart,petrol,4.48,2013,46303,2016,engine_fuel,10
I-3923390F,VW Polo,economy,petrol,4.64,2011,3491,2019,gear_stick,24
O-4279569M,VW Polo VI,economy,petrol,3.88,2015,88560,2016,gear_stick,65
H16125822e,Smart ForFour,economy,petrol,3.34,2014,66772,2016,engine_check,22
o86542160V,Hyundai Solaris,economy,petrol,2.98,2015,79303,2016,gear_stick,10
G13398649k,VW Polo,economy,petrol,4.2,2014,65872,2017,engine_ignition,31
a11345005q,Audi A4,premium,petrol,3.36,2015,85135,2018,engine_ignition,380
I-1647122N,VW Tiguan,economy,petrol,4.6,2017,124126,2020,break_bug,153
j39765515y,Kia Sportage,standart,petrol,4.56,2015,92775,2016,break_bug,8
s22685968d,Skoda Rapid,economy,petrol,3.62,2014,61312,2018,electro_bug,50
Z-3081671k,Nissan Qashqai,standart,petrol,5.9,2014,64192,2016,another_bug,37
q14945093N,VW Polo VI,economy,petrol,3.68,2014,67385,2018,wheel_shake,14
F72202302t,Smart ForTwo,economy,petrol,3.88,2017,106430,2019,engine_check,156
l21849080k,Skoda Rapid,economy,petrol,4.26,2017,110513,2017,break_bug,24
s54993523h,Smart Coupe,economy,petrol,3.18,2015,78583,2015,another_bug,27
y-1123775i,Renault Kaptur,standart,petrol,6.24,2014,61969,2016,gear_stick,11
M14149808l,Kia Rio X,economy,petrol,1.78,2011,5986,2014,electro_bug,36
M20404037C,Kia Rio X,economy,petrol,3.98,2013,47147,2015,engine_check,21
b-1571829x,Mercedes-Benz E200,business,petrol,5.06,2012,19825,2020,gear_stick,12
s16958043k,VW Polo VI,economy,petrol,4.32,2011,2383,2016,gear_stick,27
Y-1266722f,Renault Kaptur,standart,petrol,5.56,2015,83397,2016,electro_bug,22
d10076210Q,Hyundai Solaris,economy,petrol,5.02,2015,72982,2020,engine_overheat,20
H10820003r,Kia Rio X,economy,petrol,4.04,2014,63167,2019,engine_ignition,53
W10593018G,Skoda Rapid,economy,petrol,3.22,2017,112114,2017,engine_check,46
s-5287107D,Kia Rio,economy,petrol,4.64,2015,84095,2016,wheel_shake,6
U66280408d,Renault Kaptur,standart,petrol,2.96,2011,4379,2018,break_bug,62
D-1146124x,VW Polo VI,economy,petrol,5.02,2014,57906,2020,another_bug,99
Q-2259244S,Kia Rio X-line,economy,petrol,4.66,2011,4219,2019,engine_fuel,5
D-7559160p,Smart ForTwo,economy,petrol,4.92,2017,130293,2016,gear_stick,25
h13839988K,Kia Rio X,economy,petrol,2.02,2012,22163,2019,break_bug,13
H72631192M,Kia Rio X,economy,petrol,4.2,2015,79899,2020,engine_fuel,9
L-4889905g,VW Tiguan,economy,petrol,4.72,2016,98453,2020,wheel_shake,12
z21607339H,Smart Coupe,economy,petrol,4.44,2017,113777,2017,wheel_shake,34
p-3327570V,Skoda Rapid,economy,petrol,5.74,2014,56089,2019,break_bug,5
g12467053Z,BMW 320i,business,petrol,3.66,2017,121293,2018,engine_overheat,167
N21846215c,Mini Cooper,business,petrol,4.46,2015,80359,2019,engine_ignition,269
i-2453146k,Skoda Rapid,economy,petrol,4.02,2015,79308,2017,engine_overheat,35
m20786215a,Smart Coupe,economy,petrol,3.9,2015,88518,2021,engine_ignition,54
n20592045x,VW Polo VI,economy,petrol,3.78,2013,38272,2014,gear_stick,18
H22026851l,Kia Rio X,economy,petrol,3.86,2015,88481,2017,engine_check,25
E51339321G,Smart Coupe,economy,petrol,3.64,2013,44794,2021,another_bug,120
k27919049d,Skoda Rapid,economy,petrol,4.96,2015,77223,2015,electro_bug,8
c33662054g,VW Polo VI,economy,petrol,4.28,2012,20622,2018,break_bug,8
S12759270J,Nissan Qashqai,standart,petrol,3.0,2015,73263,2015,engine_ignition,67
M-1009693J,Kia Rio,economy,petrol,5.44,2015,72820,2020,electro_bug,26
H82330164N,Smart ForFour,economy,petrol,2.74,2017,128991,2016,engine_check,145
Q-1696362K,Skoda Rapid,economy,petrol,4.82,2013,39096,2018,gear_stick,23
a-1300283K,Kia Rio X-line,economy,petrol,5.02,2014,59340,2017,engine_ignition,49
f11377802P,VW Polo VI,economy,petrol,3.4,2011,1772,2020,engine_ignition,143
r-4630038Z,VW Polo VI,economy,petrol,4.56,2011,4195,2017,engine_ignition,80
N-1766675j,Kia Rio X,economy,petrol,5.1,2014,62001,2022,gear_stick,16
D-1038999X,Kia Rio X-line,economy,petrol,4.96,2012,21181,2016,engine_ignition,29
H-2121225S,Renault Kaptur,standart,petrol,4.8,2012,21755,2022,engine_check,25
U92034837a,Hyundai Solaris,economy,petrol,4.04,2014,69081,2019,electro_bug,8
e47878499e,VW Polo VI,economy,petrol,4.3,2013,36546,2018,engine_check,62
y15784992m,Smart Coupe,economy,petrol,3.24,2016,100060,2017,engine_overheat,36
Q19568266H,VW Polo,economy,petrol,4.02,2013,42984,2015,break_bug,5
F-1306753r,Smart Coupe,economy,petrol,5.14,2013,43994,2017,engine_overheat,14
g-1001106Y,Skoda Rapid,economy,petrol,4.24,2015,77989,2020,engine_fuel,11
e41548122F,Smart ForTwo,economy,petrol,4.56,2016,110234,2017,electro_bug,27
d-1191791F,Smart ForTwo,economy,petrol,6.72,2013,50542,2016,break_bug,45
a-3508437r,Audi A4,premium,petrol,3.98,2016,110689,2018,another_bug,89
n10768003a,Nissan Qashqai,standart,petrol,4.28,2012,22122,2021,engine_ignition,32
V-1058917A,Mercedes-Benz E200,business,petrol,4.54,2013,45323,2018,gear_stick,101
G-1064210J,Smart Coupe,economy,petrol,5.6,2017,129539,2020,gear_stick,53
b37898483B,Smart ForTwo,economy,petrol,3.42,2015,88949,2018,electro_bug,26
W-1942072H,Kia Rio,economy,petrol,5.96,2015,85713,2018,break_bug,19
